                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7022,                 3.8093,                 1.2821,                0.00954,                0.09147,                0.02811,                0.01251,                    nan,                    nan,                    nan,             0.00029759,             0.00029759,             0.00029759
                      2,                 1.7932,                 2.8031,                 1.2563,                0.26482,                0.08137,                 0.0654,                 0.0317,                    nan,                    nan,                    nan,             0.00056095,             0.00056095,             0.00056095
                      3,                 1.7845,                 2.4043,                  1.252,                0.23865,                0.08744,                0.06745,                0.03807,                    nan,                    nan,                    nan,             0.00078432,             0.00078432,             0.00078432
                      4,                  1.758,                 2.1566,                 1.2621,                0.23308,                0.09234,                0.08197,                0.04338,                    nan,                    nan,                    nan,             0.00072902,             0.00072902,             0.00072902
                      5,                 1.7183,                 1.9811,                 1.2354,                0.28376,                0.11477,                 0.0976,                0.04819,                    nan,                    nan,                    nan,             0.00066902,             0.00066902,             0.00066902
                      6,                  1.606,                 1.9482,                 1.1891,                0.29751,                0.10542,                0.09988,                0.04855,                    nan,                    nan,                    nan,             0.00060903,             0.00060903,             0.00060903
                      7,                  1.576,                 1.8473,                 1.1878,                 0.3607,                 0.1012,                0.11107,                 0.0578,                    nan,                    nan,                    nan,             0.00054904,             0.00054904,             0.00054904
                      8,                 1.5476,                 1.8095,                 1.1761,                0.27443,                0.10706,                0.10642,                0.05936,                    nan,                    nan,                    nan,             0.00048904,             0.00048904,             0.00048904
                      9,                 1.5574,                 1.7549,                 1.1518,                 0.3279,                0.11691,                  0.114,                0.05988,                    nan,                    nan,                    nan,             0.00042905,             0.00042905,             0.00042905
                     10,                 1.5153,                 1.6587,                 1.1502,                0.33707,                0.12495,                0.11786,                 0.0601,                    nan,                    nan,                    nan,             0.00036905,             0.00036905,             0.00036905
                     11,                 1.5027,                 1.5795,                 1.1487,                0.34226,                0.12308,                0.11962,                0.06116,                    nan,                    nan,                    nan,             0.00030906,             0.00030906,             0.00030906
                     12,                 1.4365,                 1.5071,                 1.1233,                0.40041,                0.12212,                0.13132,                0.06823,                    nan,                    nan,                    nan,             0.00024907,             0.00024907,             0.00024907
                     13,                  1.449,                 1.5126,                 1.1274,                0.40797,                0.12004,                0.13168,                0.07115,                    nan,                    nan,                    nan,             0.00018907,             0.00018907,             0.00018907
                     14,                 1.4057,                 1.4413,                 1.1121,                0.35945,                0.12901,                 0.1386,                0.07296,                    nan,                    nan,                    nan,             0.00012908,             0.00012908,             0.00012908
                     15,                 1.4028,                 1.4098,                 1.1013,                0.36306,                0.12647,                0.13853,                0.07323,                    nan,                    nan,                    nan,             6.9084e-05,             6.9084e-05,             6.9084e-05
